setting,workspace,milestone_id,model_run,result_path,resolved,recall,precision,score
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_2924d0c_1,_claude-code_opus-4.6_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_opus-4.6_run_001/milestone_seed_2924d0c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_292bc54_1,_claude-code_opus-4.6_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_opus-4.6_run_001/milestone_seed_292bc54_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-01,_claude-code_opus-4.6_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_opus-4.6_run_001/milestone_seed_5f5da48_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-02,_claude-code_opus-4.6_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_opus-4.6_run_001/milestone_seed_5f5da48_1_sub-02/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_8c6595c_1,_claude-code_opus-4.6_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_opus-4.6_run_001/milestone_seed_8c6595c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-01,_claude-code_opus-4.6_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_opus-4.6_run_001/milestone_seed_a6e0be3_1_sub-01/evaluation/evaluation_result.json,0.0,0.5,1.0,0.6666666666666666
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-02,_claude-code_opus-4.6_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_opus-4.6_run_001/milestone_seed_a6e0be3_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_b610d1c_1,_claude-code_opus-4.6_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_opus-4.6_run_001/milestone_seed_b610d1c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-01,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/maintenance_fixes_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-02,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/maintenance_fixes_1_sub-02/evaluation/evaluation_result.json,0.0,0.8571428571428571,1.0,0.923076923076923
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_style_1,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/maintenance_style_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-01,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_119407d_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-02,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_119407d_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_2924d0c_1,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_2924d0c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_292bc54_1,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_292bc54_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-01,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_5f5da48_1_sub-01/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-02,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_5f5da48_1_sub-02/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_8c6595c_1,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_8c6595c_1/evaluation/evaluation_result.json,0.0,1.0,0.375,0.5454545454545454
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-01,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_a6e0be3_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-02,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_a6e0be3_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_b610d1c_1,_claude-code_sonnet-4.5_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.5_run_001/milestone_seed_b610d1c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-01,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/maintenance_fixes_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-02,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/maintenance_fixes_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_style_1,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/maintenance_style_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-01,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_119407d_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-02,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_119407d_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_2924d0c_1,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_2924d0c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_292bc54_1,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_292bc54_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-01,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_5f5da48_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-02,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_5f5da48_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_8c6595c_1,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_8c6595c_1/evaluation/evaluation_result.json,0.0,1.0,0.75,0.8571428571428571
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-01,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_a6e0be3_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-02,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_a6e0be3_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_b610d1c_1,_claude-code_sonnet-4.6_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_claude-code_sonnet-4.6_run_002/milestone_seed_b610d1c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-01,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/maintenance_fixes_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-02,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/maintenance_fixes_1_sub-02/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_style_1,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/maintenance_style_1/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-01,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_119407d_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-02,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_119407d_1_sub-02/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_2924d0c_1,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_2924d0c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_292bc54_1,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_292bc54_1/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-01,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_5f5da48_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-02,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_5f5da48_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_8c6595c_1,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_8c6595c_1/evaluation/evaluation_result.json,0.0,1.0,0.5,0.6666666666666666
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-01,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_a6e0be3_1_sub-01/evaluation/evaluation_result.json,0.0,0.875,1.0,0.9333333333333333
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-02,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_a6e0be3_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_b610d1c_1,_codex_gpt-5.2-codex_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2-codex_run_001/milestone_seed_b610d1c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-01,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/maintenance_fixes_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-02,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/maintenance_fixes_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_style_1,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/maintenance_style_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-01,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_119407d_1_sub-01/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_119407d_1_sub-02,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_119407d_1_sub-02/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_2924d0c_1,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_2924d0c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_292bc54_1,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_292bc54_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-01,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_5f5da48_1_sub-01/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_5f5da48_1_sub-02,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_5f5da48_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_8c6595c_1,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_8c6595c_1/evaluation/evaluation_result.json,0.0,1.0,0.5,0.6666666666666666
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-01,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_a6e0be3_1_sub-01/evaluation/evaluation_result.json,0.0,0.5,0.38461538461538464,0.4347826086956522
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_a6e0be3_1_sub-02,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_a6e0be3_1_sub-02/evaluation/evaluation_result.json,0.0,0.0,0.0,0.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,milestone_seed_b610d1c_1,_codex_gpt-5.2_run_001,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.2_run_001/milestone_seed_b610d1c_1/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-01,_codex_gpt-5.3-codex_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.3-codex_run_002/maintenance_fixes_1_sub-01/evaluation/evaluation_result.json,0.0,0.5,1.0,0.6666666666666666
independent,BurntSushi_ripgrep_14.1.1_15.0.0,maintenance_fixes_1_sub-02,_codex_gpt-5.3-codex_run_002,SWE-Milestone-log-results/BurntSushi_ripgrep_14.1.1_15.0.0/mstone_trial/_codex_gpt-5.3-codex_run_002/maintenance_fixes_1_sub-02/evaluation/evaluation_result.json,1.0,1.0,1.0,1.0
