workspace,milestone_id,title,category,is_graded,patch_src_loc,patch_total_loc,src_additions,src_deletions,all_additions,all_deletions,touched_src_files,touched_test_files,srs_word_count,dag_topological_position,dag_position_fraction,dag_layer,dag_layer_fraction,dag_indegree,dag_outdegree,raw_fail_to_pass,raw_none_to_pass,raw_pass_to_pass,invalid_fail_to_pass,invalid_none_to_pass,invalid_pass_to_pass,effective_fail_to_pass,effective_none_to_pass,effective_pass_to_pass,effective_functional_tests,effective_total_tests,intrinsic_difficulty_raw,continuous_difficulty_raw,intrinsic_difficulty_score,continuous_difficulty_score,difficulty_band
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M016.1,RPC and Remoting Bug Fixes,Quality,True,496,499,337,159,338,161,40,0,975,9,0.6666666666666666,0,0.0,0,2,0,6,6915,0,0,4,0,6,6911,6,6917,0.40739953912902993,0.30542847536542433,54.07,53.05,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M017,Code Merge and Branch Integration,Maintenance,True,239,242,193,46,193,49,23,0,1518,10,0.75,0,0.0,0,0,1,3,6923,0,3,13,1,0,6910,1,6911,-0.2392059539538167,-0.17670299432401204,47.61,48.23,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M018,Performance Optimizations,Quality,True,110,110,61,49,61,49,5,0,689,11,0.8333333333333334,1,0.5,1,0,0,6,6886,0,0,6,0,6,6880,6,6886,-0.7264860017427635,-0.4057149326600597,42.74,45.94,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M019,Feature Enhancements - Minor Additions,Feature,True,445,454,282,163,291,163,27,0,757,12,0.9166666666666666,0,0.0,0,0,0,6,6910,0,0,13,0,6,6897,6,6903,0.3253267381624673,0.30834759444458115,53.25,53.08,central
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M025,Miscellaneous Fixes and Improvements,Maintenance,True,135,265,27,108,75,190,24,0,1301,13,1.0,1,0.5,1,0,0,0,6924,0,0,10,0,0,6914,0,6914,-0.7218159377967752,-0.35163278631629136,42.78,46.48,central
element-hq_element-web_v1.11.95_v1.11.97,maintenance_ui_ux,UI/UX and Accessibility Improvements,Maintenance,True,100,426,58,42,249,177,9,24,1403,1,0.0,0,0.0,0,1,29,0,5237,2,0,0,27,0,5237,27,5264,-0.7197438932010226,-0.770022547658248,42.8,42.3,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_3762d40_1,Enhanced Rageshake Error Reporting,Quality,True,127,259,99,28,231,28,2,1,1016,2,0.058823529411764705,0,0.0,0,1,8,0,5326,0,0,0,8,0,5326,8,5334,-0.6260225774815268,-0.6770263535046486,43.74,43.23,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_56c7fc1_1,Identity Reset Protection UX Enhancement,Security,True,62,399,51,11,384,15,5,5,744,3,0.11764705882352941,0,0.0,0,1,2,0,5208,0,0,0,2,0,5208,2,5210,-1.2486942725669508,-1.1478833350034456,37.51,38.52,lower
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_599112e_1,Compound Design System Checkbox Migration,Quality,True,572,3791,184,388,2358,1433,27,16,2217,4,0.17647058823529413,0,0.0,0,0,15,0,5208,9,0,0,6,0,5208,6,5214,0.48561822393812704,0.2283377198805516,54.86,52.28,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_7ff1fd2_1,Room List Store V3 Filter Infrastructure,Feature,True,486,1109,427,59,961,148,19,6,2437,5,0.23529411764705882,0,0.0,0,1,1,28,5205,0,0,0,1,28,5205,29,5234,0.47435024647162244,0.23135108658648745,54.74,52.31,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_aa99601_1,Group Call Error Screen Display,Feature,True,293,704,151,142,343,361,11,11,1220,6,0.29411764705882354,0,0.0,0,2,4,0,5325,0,0,0,4,0,5325,4,5329,-0.042453395496173205,-0.15341758271006278,49.58,48.47,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_8bb4d44_1,Element Call Bundle Integration,Feature,True,135,294,113,22,261,33,7,8,1059,7,0.35294117647058826,1,0.25,1,0,6,2,5180,0,0,0,6,2,5180,8,5188,-0.5830704392641395,-0.4970935860974055,44.17,45.03,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_be3778b_1,Key Storage Toggle for Encryption Settings,Security,True,372,819,351,21,784,35,10,14,2007,8,0.4117647058823529,0,0.0,0,1,1,8,5255,0,0,0,1,8,5255,9,5264,0.189345551357311,0.058256095147791155,51.89,50.58,central
element-hq_element-web_v1.11.95_v1.11.97,feature_enhancements,Feature Enhancements,Feature,True,253,882,225,28,735,147,9,10,1092,9,0.47058823529411764,1,0.25,3,1,10,3,5250,0,0,0,10,3,5250,13,5263,-0.07543821565158726,-0.06741162436552009,49.25,49.33,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_3f47487_1,React DOM Rendering Modernization,Platform,True,1428,2969,716,712,1608,1361,63,28,2346,10,0.5294117647058824,2,0.5,1,1,15,7,5239,2,0,0,13,7,5239,20,5259,1.2615393640171753,1.0652327410912397,62.62,60.65,higher
element-hq_element-web_v1.11.95_v1.11.97,maintenance_bug_fixes,Bug Fixes and Stability Improvements,Maintenance,True,80,167,47,33,128,39,6,6,1430,11,0.5882352941176471,3,0.75,1,1,2,0,5256,0,0,0,2,0,5256,2,5258,-1.057726485437206,-0.6683184357239255,39.42,43.32,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_05df321_1,React 19 JSX Import Migration,Platform,True,456,1039,238,218,657,382,269,17,1261,12,0.6470588235294118,4,1.0,2,0,0,0,5271,0,0,0,0,0,5271,0,5271,0.16641637125626346,0.37990491903803086,51.66,53.8,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_e662c19_1,Image and Video Hiding Privacy Feature,Feature,True,446,827,334,112,663,164,18,7,2194,13,0.7058823529411765,0,0.0,0,0,6,9,5216,0,0,0,6,9,5216,15,5231,0.36149933521107686,0.2714180815285021,53.61,52.71,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_e9a3625_1_sub-01,Room List V3 ViewModel Foundation,Feature,True,415,979,412,3,873,106,6,4,1212,14,0.7647058823529411,1,0.25,1,1,0,2,5236,0,0,0,0,2,5236,2,5238,0.17901373451322597,0.21603298366173157,51.79,52.16,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_e9a3625_1_sub-02,Room List V3 UI Components,Feature,True,791,2840,738,53,2552,288,22,34,2111,15,0.8235294117647058,2,0.5,1,1,0,60,5192,0,0,0,0,60,5192,60,5252,0.8962677005044885,0.8544616903615663,58.96,58.54,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_e9a3625_1_sub-03,Room List V3 Room Behavior and Display,Feature,True,587,2238,558,29,1918,320,15,33,2621,16,0.8823529411764706,3,0.75,1,0,21,1,5257,0,0,0,21,1,5257,22,5279,0.597473674698956,0.7059671842478829,55.97,57.06,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_f59af37_1,Simplified Sliding Sync Architecture,Maintenance,True,952,1782,230,722,365,1417,12,8,1606,17,0.9411764705882353,1,0.25,1,0,9,8,5222,1,0,0,8,8,5222,16,5238,0.938673913464083,0.8557040611319044,59.39,58.56,central
element-hq_element-web_v1.11.95_v1.11.97,milestone_seed_fba5938_1,SSO Pickle Key Generation,Security,True,92,157,67,25,130,27,2,3,771,18,1.0,0,0.0,0,0,1,0,5215,0,0,0,1,0,5215,1,5216,-0.9852204434706624,-0.701667530885742,40.15,42.98,central
navidrome_navidrome_v0.57.0_v0.58.0,milestone_002,Plugin API Extensions,Feature,True,99,99,90,9,90,9,7,1,1233,1,0.0,0,0.0,0,2,0,155,1658,0,154,0,0,1,1658,1,1659,-1.0492841690668402,-1.0472890533101928,39.51,39.53,lower
navidrome_navidrome_v0.57.0_v0.58.0,milestone_006,UI Quality Improvements,Quality,True,97,127,70,27,80,47,5,5,954,2,0.125,0,0.0,0,2,7,0,1063,1,0,0,6,0,1063,6,1069,-1.0144797185849406,-0.9995355138707964,39.86,40.0,central
navidrome_navidrome_v0.57.0_v0.58.0,milestone_001,Plugin System Core Improvements,Feature,True,1064,1068,570,494,571,497,25,10,2518,3,0.25,1,0.2,2,1,0,97,2156,0,0,0,0,97,2156,97,2253,1.0653811414928196,0.7308109694520879,60.65,57.31,central
navidrome_navidrome_v0.57.0_v0.58.0,milestone_003_sub-01,Multi-Library Database and Persistence Foundation,Feature,True,1226,1226,951,275,951,275,32,1,3011,4,0.375,1,0.2,2,1,4,603,910,422,0,0,4,181,910,185,1095,1.1321546460483927,0.7960671241999234,61.32,57.96,central
navidrome_navidrome_v0.57.0_v0.58.0,milestone_003_sub-02,Multi-Library Core Service and Scanner,Feature,True,991,991,895,96,895,96,13,0,3434,5,0.5,2,0.4,2,1,0,95,1957,0,0,0,0,95,1957,95,2052,1.0000606842294395,0.7988007827958904,60.0,57.99,central
navidrome_navidrome_v0.57.0_v0.58.0,milestone_003_sub-03,Multi-Library Server APIs,Feature,True,610,610,444,166,444,166,26,10,2206,6,0.625,3,0.6,1,1,0,440,1150,357,0,0,0,83,1150,83,1233,0.5682263183515603,0.5357332164295677,55.68,55.36,central
navidrome_navidrome_v0.57.0_v0.58.0,milestone_003_sub-04,Multi-Library UI Components,Feature,True,1571,1624,1553,18,1553,71,27,0,2799,7,0.75,4,0.8,1,1,12,81,1543,0,0,0,12,81,1543,93,1636,1.3218684052836633,1.2217924331680343,63.22,62.22,higher
navidrome_navidrome_v0.57.0_v0.58.0,milestone_004,Scanner Quality Improvements,Quality,True,90,92,71,19,72,20,3,3,885,8,0.875,5,1.0,1,0,4,0,1222,0,0,0,4,0,1222,4,1226,-1.0818887120180882,-0.5763284300067162,39.18,44.24,central
navidrome_navidrome_v0.57.0_v0.58.0,milestone_007,Agent Logic Streamlining,Maintenance,True,152,152,51,101,51,101,1,2,1094,9,1.0,0,0.0,0,0,0,9,1412,0,0,0,0,9,1412,9,1421,-0.6208242693183635,-0.4488265714164873,43.79,45.51,central
nushell_nushell_0.106.0_0.108.0,milestone_G04_1ddae02,Query XML Multiple Output Types and Enhanced Nodeset Formatting,Breaking,True,451,493,396,55,417,76,1,0,1041,1,0.0,0,0.0,0,3,11,0,5337,0,0,0,11,0,5337,11,5348,0.3501999092363315,0.07339196427692282,53.5,50.73,central
nushell_nushell_0.106.0_0.108.0,milestone_M02_parser,Parser Bug Fixes and Improvements,Quality,True,296,296,177,119,177,119,3,1,1429,2,0.08333333333333333,0,0.0,0,3,6,0,5310,0,0,0,6,0,5310,6,5316,-0.009233296979198906,-0.18517117705302819,49.91,48.15,central
nushell_nushell_0.106.0_0.108.0,milestone_core_development.2,Foundation Infrastructure Part B,Feature,True,2138,2339,1448,690,1549,790,208,3,2127,3,0.16666666666666666,1,0.125,2,6,17,3,4949,0,0,0,17,3,4949,20,4969,1.5606058923860326,1.0999032764471641,65.61,61.0,higher
nushell_nushell_0.106.0_0.108.0,milestone_G02_da9615f,Parse-time Pipeline Type Checking for Multiple Output Types,Quality,True,186,186,104,82,104,82,6,1,827,4,0.25,2,0.25,1,3,2,0,5348,0,0,0,2,0,5348,2,5350,-0.42333831623404883,-0.3956404833648886,45.77,46.04,central
nushell_nushell_0.106.0_0.108.0,milestone_G04_ca0e961,Overlay List Returns Table with Active Status,Breaking,True,96,96,75,21,75,21,3,1,616,5,0.3333333333333333,2,0.25,1,2,11,0,5340,0,0,0,11,0,5340,11,5351,-0.8133370502532158,-0.6834198132218682,41.87,43.17,central
nushell_nushell_0.106.0_0.108.0,milestone_G05_0b8531e,Well-Optimized String Types Infrastructure,Maintenance,True,1002,1037,816,186,851,186,10,0,1031,6,0.4166666666666667,2,0.25,1,3,0,9,5318,0,0,0,0,9,5318,9,5327,0.9384824707760219,0.715901312543391,59.38,57.16,central
nushell_nushell_0.106.0_0.108.0,milestone_core_development.3,Foundation Infrastructure Part C,Feature,True,1778,2239,1347,431,1655,584,60,4,1530,7,0.5,3,0.375,1,3,14,0,5295,0,0,0,14,0,5295,14,5309,1.402446992114356,1.1354448341828907,64.02,61.35,higher
nushell_nushell_0.106.0_0.108.0,milestone_G01_48bca0a,Custom Completion Refactoring from Expression to Signature,Quality,True,303,909,159,144,462,447,10,0,437,8,0.5833333333333334,4,0.5,6,1,2,0,5331,0,0,0,2,0,5331,2,5333,-0.056271972924879225,0.05008129847658767,49.44,50.5,central
nushell_nushell_0.106.0_0.108.0,milestone_G05_be6e868,LSP Testing Code Refactoring,Quality,True,3036,3132,1044,1992,1093,2039,12,2,650,9,0.6666666666666666,4,0.5,2,1,0,0,5347,0,0,0,0,0,5347,0,5347,1.599886373238745,1.3769114101476647,66.0,63.77,higher
nushell_nushell_0.106.0_0.108.0,milestone_M08_docs,Documentation and Help Improvements,Quality,True,206,206,126,80,126,80,10,0,720,10,0.75,5,0.625,2,2,3,0,5301,0,0,0,3,0,5301,3,5304,-0.32533817107220553,-0.08355066386365452,46.75,49.16,central
nushell_nushell_0.106.0_0.108.0,milestone_core_development.1,Foundation Infrastructure Part A,Feature,True,2199,2881,1344,855,1848,1033,73,4,2197,11,0.8333333333333334,6,0.75,7,1,25,0,4938,0,0,0,25,0,4938,25,4963,1.5980350697577015,1.4771683792221835,65.98,64.77,higher
nushell_nushell_0.106.0_0.108.0,milestone_core_development.4,Core Features Development,Feature,True,3775,5046,2629,1146,3278,1768,164,4,2249,12,0.9166666666666666,7,0.875,5,1,35,6,4814,0,0,0,35,6,4814,41,4855,2.0406641967070467,1.8792758521129824,70.41,68.79,higher
nushell_nushell_0.106.0_0.108.0,milestone_G02_a647707,Runtime Enforcement of Type Annotations,Feature,True,54,54,52,2,52,2,5,2,845,13,1.0,8,1.0,1,0,3,0,4856,0,0,0,3,0,4856,3,4859,-1.336545935063377,-0.7113964026229618,36.63,42.89,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M06,Array API Support for Metrics and Preprocessing,Feature,True,304,370,242,62,300,70,5,0,1335,1,0.0,0,0.0,0,1,5,0,34669,0,0,0,5,0,34669,5,34674,0.1938123244817838,-0.005956072636258775,51.94,49.94,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M11,Missing value support for ExtraTree estimators,Feature,True,174,213,147,27,184,29,3,0,1435,2,0.09090909090909091,0,0.0,0,1,20,0,22896,0,0,0,20,0,22896,20,22916,-0.17309057503698544,-0.2823753505602533,48.27,47.18,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M12.1,Infrastructure Foundation Phase 1,Breaking,True,2583,32777,1276,1307,12019,20758,222,0,4113,3,0.18181818181818182,0,0.0,0,1,872,2,21446,0,0,0,872,2,21446,874,22320,2.142128943895664,1.549569097482204,71.42,65.5,higher
scikit-learn_scikit-learn_1.5.2_1.6.0,M12.2,Infrastructure Foundation Phase 2,Breaking,True,1208,3083,718,490,1427,1656,54,0,3490,4,0.2727272727272727,1,0.2,1,4,71,1,21771,0,0,0,71,1,21771,72,21843,1.3786867859824867,1.0353550728789522,63.79,60.35,higher
scikit-learn_scikit-learn_1.5.2_1.6.0,M01,Metadata routing for RFE and RFECV,Feature,True,262,272,232,30,239,33,2,0,1228,5,0.36363636363636365,2,0.4,1,1,10,0,19839,0,0,0,10,0,19839,10,19849,0.07038327984902104,0.08901236496799103,50.7,50.89,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M03,Move Estimator Type to Tags,Breaking,True,289,863,200,89,548,315,20,0,582,6,0.45454545454545453,2,0.4,1,1,0,2,20001,0,0,0,0,2,20001,2,20003,0.045348933271892156,0.0976138866163654,50.45,50.98,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M12.3,Infrastructure Foundation Phase 3a,Breaking,True,448,3013,231,217,1763,1250,176,0,1722,7,0.5454545454545454,2,0.4,1,1,17,0,23768,0,0,0,17,0,23768,17,23785,0.5313657653544306,0.5029367257540434,55.31,55.03,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M12.4,Infrastructure Foundation Phase 3b,Breaking,True,703,1977,454,249,1238,739,55,0,2028,8,0.6363636363636364,3,0.6,1,1,104,0,20284,0,0,0,104,0,20284,104,20388,0.9903849363823082,0.9337190751173787,59.9,59.34,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M12.5,Tags System and Validation Phase 4a (Partial),Breaking,True,391,1000,314,77,700,300,8,0,2509,9,0.7272727272727273,4,0.8,5,2,47,0,22281,0,0,0,47,0,22281,47,22328,0.49732664425408557,0.6290391066496347,54.97,56.29,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M13,Documentation and Testing Updates,Docs,True,655,2454,461,194,1355,1099,57,0,1312,10,0.8181818181818182,2,0.4,1,1,13,1,19856,0,0,0,13,1,19856,14,19870,0.7853563531470353,0.7725817697266124,57.85,57.73,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M04,Move _validate_data to Public API,Breaking,True,149,2341,132,17,1625,716,96,0,600,11,0.9090909090909091,5,1.0,2,0,1,0,20960,0,0,0,1,0,20960,1,20961,-0.47937013145674606,-0.02799514839413085,45.21,49.72,central
scikit-learn_scikit-learn_1.5.2_1.6.0,M17,Performance Optimizations,Feature,True,206,224,165,41,183,41,5,0,1004,12,1.0,5,1.0,1,0,6,2,19924,0,0,0,6,2,19924,8,19932,-0.12561559218372514,0.2692295956118568,48.74,52.69,central
zeromicro_go-zero_v1.6.0_v1.9.3,M005,SQL Statement-Level Circuit Breaker Support,Feature,True,280,289,166,114,170,119,6,0,845,1,0.0,0,0.0,0,2,1,196,2148,0,0,37,1,196,2111,197,2308,0.1098057739994307,-0.14380604345645187,51.1,48.56,central
zeromicro_go-zero_v1.6.0_v1.9.3,M007.1,Etcd Config Center Infrastructure,Feature,True,460,666,421,39,524,142,7,0,1698,2,0.045454545454545456,0,0.0,0,2,0,199,1867,0,0,0,0,199,1867,199,2066,0.47212679287505266,0.15037947813150232,54.72,51.5,central
zeromicro_go-zero_v1.6.0_v1.9.3,M008,REST File Server Support,Feature,True,117,177,117,0,147,30,2,0,1097,3,0.09090909090909091,0,0.0,0,0,0,231,1472,0,0,0,0,231,1472,231,1703,-0.5714710504935371,-0.663019105812806,44.29,43.37,central
zeromicro_go-zero_v1.6.0_v1.9.3,M009,HTTP-to-HTTP Gateway Support,Feature,True,343,469,268,75,331,138,7,0,1317,4,0.13636363636363635,0,0.0,0,0,9,199,1310,0,0,0,9,199,1310,208,1518,0.217395353411643,-0.03323771623644682,52.17,49.67,central
zeromicro_go-zero_v1.6.0_v1.9.3,M013,Consistent Hash Balancer for zRPC,Feature,True,122,122,118,4,118,4,4,0,1900,5,0.18181818181818182,0,0.0,0,0,0,211,1290,0,0,0,0,211,1290,211,1501,-0.5607090295773629,-0.6327229188743769,44.39,43.67,central
zeromicro_go-zero_v1.6.0_v1.9.3,M023,SQL and ORM Improvements,Quality,True,78,146,71,7,105,41,9,0,1144,6,0.22727272727272727,0,0.0,0,2,2,245,1343,0,0,0,2,245,1343,247,1590,-0.8792353562857295,-0.8702649767782051,41.21,41.3,central
zeromicro_go-zero_v1.6.0_v1.9.3,M017,Mapping and Unmarshaler Improvements,Quality,True,152,402,116,36,241,161,6,0,1617,7,0.2727272727272727,1,0.125,2,2,3,168,1296,0,0,0,3,168,1296,171,1467,-0.4112646760869698,-0.4563735067416777,45.89,45.44,central
zeromicro_go-zero_v1.6.0_v1.9.3,M004,CPU Monitoring and Adaptive Shedding,Quality,True,402,456,247,155,274,182,35,0,1473,8,0.3181818181818182,2,0.25,1,3,0,283,2257,0,6,52,0,277,2205,277,2482,0.41301613009379495,0.24776428456473715,54.13,52.48,central
zeromicro_go-zero_v1.6.0_v1.9.3,M003,Circuit Breaker Algorithm Evolution and Recovery Optimization,Quality,True,411,481,319,92,354,127,8,0,1688,9,0.36363636363636365,3,0.375,1,1,0,407,2342,0,189,52,0,218,2290,218,2508,0.41532341863598526,0.29706114145504664,54.15,52.97,central
zeromicro_go-zero_v1.6.0_v1.9.3,M001,Upgrade go-redis to v9 with API Modernization,Breaking,True,195,244,83,112,107,137,9,0,1405,10,0.4090909090909091,4,0.5,2,1,0,369,2477,0,213,0,0,156,2477,156,2633,-0.16379016724581189,-0.10930962069189643,48.36,48.91,central
zeromicro_go-zero_v1.6.0_v1.9.3,M018,Logging System Enhancements,Feature,True,615,864,485,130,610,254,10,0,3510,11,0.45454545454545453,3,0.375,1,1,0,311,1340,0,0,0,0,311,1340,311,1651,0.6910107794641986,0.5253137220326808,56.91,55.25,central
zeromicro_go-zero_v1.6.0_v1.9.3,M019,HTTP Request Response Improvements,Quality,True,219,599,178,41,393,206,15,0,1310,12,0.5,4,0.5,1,2,3,910,1453,0,0,0,3,910,1453,913,2366,0.0034624972379523333,0.029938180323923355,50.03,50.3,central
